orderIdentifier,productSku,productUnitCode,freeFormProduct,shipBy,comment
FR1012401,4HC51,piece,,2016-05-01,
FR1012401,2JV62,set,,2016-05-01,
FR1012401,3YB32,piece,,,
FR1012402,2JV62,set,,,
FR1012402,1GB82,piece,,,
FR1012402,3LV37,piece,,,
FR1012402,3YB32,piece,,,
FR1012402,4HC51,piece,,,
FR1012403,3LV37,piece,,,
FR1012403,3YB32,piece,,2016-03-15,
FR1012403,4HC51,piece,,2016-03-15,
FR1012403,2JV62,set,,2016-03-15,
FR1012403,1GB82,piece,,2016-03-15,
FR1012404,1GB82,set,,,
FR1012404,3LV37,piece,,,
FR1012404,3YB32,piece,,,
FR1012404,4HC51,piece,,,
FR1012405,3LV37,piece,,2016-04-03,"Please, make enhanced packaging"
FR1012405,3YB32,piece,,2016-04-03,"Please, make enhanced packaging"
FR1012405,4HC51,piece,,2016-04-03,"Please, make enhanced packaging"
FR1012405,2JV62,set,,2016-04-03,"Please, make enhanced packaging"
FR1012405,1GB82,set,,2016-04-03,"Please, make enhanced packaging"
FR1012406,1GB82,set,,,
FR1012406,3LV37,piece,,,
FR1012406,3YB32,piece,,,
FR1012406,4HC51,piece,,,
FR1012407,1GB82,set,,,
FR1012407,3LV37,piece,,,
FR1012407,3YB32,piece,,,"Please, make enhanced packaging"
FR1012407,4HC51,piece,,,
FR1012408,1GB82,set,,,
FR1012408,3LV37,piece,,,
FR1012408,3YB32,piece,,,
FR1012409,1GB82,set,,,
FR1012409,3LV37,piece,,,
FR1012409,4HC51,piece,,,
FR1012410,3LV37,piece,,2016-04-03,"Please, make enhanced packaging"
FR1012410,3YB32,piece,,2016-04-03,"Please, make enhanced packaging"
FR1012410,4HC51,piece,,2016-04-03,"Please, make enhanced packaging"
FR1012410,2JV62,set,,2016-04-03,"Please, make enhanced packaging"
FR1012410,1GB82,set,,2016-04-03,"Please, make enhanced packaging"
FR1012411,1GB82,set,,,
FR1012411,3LV37,piece,,,
FR1012411,3YB32,piece,,,
FR1012411,4HC51,piece,,,
FR1012412,1GB82,set,,,
FR1012412,3LV37,piece,,,
FR1012412,3YB32,piece,,,"Please, make enhanced packaging"
FR1012412,4HC51,piece,,,
