"product","website","all","account","accountGroup","visibility"
"HSTUC","Default","true","","","hidden"
"HSTUC","Default","","Company A","","visible"
"HSTUC","Default","","","All Customers","category"
"HSTUC","Default","","","Partners","visible"
"HSTUC","Default","","","Wholesale Accounts","visible"
"HSSUC","US","true","","","hidden"
"HSSUC","US","","Company A - East Division","","hidden"
"HSSUC","US","","","All Customers","category"
"HSSUC","US","","","Partners","visible"
"HSSUC","US","","","Wholesale Accounts","hidden"
"HLCU","Australia","true","","","visible"
"HLCU","Australia","","Company A - West Division","","visible"
"HLCU","Australia","","","All Customers","visible"
"HLCU","Australia","","","Partners","visible"
"HLCU","Australia","","","Wholesale Accounts","visible"
"HPGMPUE","Mexico","true","","","hidden"
"HPGMPUE","Mexico","","Company A","","hidden"
"HPGMPUE","Mexico","","","All Customers","hidden"
"HPGMPUE","Mexico","","","Partners","hidden"
"HPGMPUE","Mexico","","","Wholesale Accounts","hidden"
