State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
AK,99501,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99502,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99503,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99504,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99505,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99506,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99507,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99508,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99509,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99510,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99511,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99513,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99514,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99515,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99516,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99517,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99518,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99519,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99520,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99521,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99522,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99523,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99524,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99529,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99530,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99540,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99550,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99554,ALAKANUK,AAID,0.040000,0.000000,0,0.040000,0
AK,99556,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99558,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99559,BETHEL,AABB,0.060000,0.000000,0,0.060000,0
AK,99567,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99568,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99572,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99573,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99574,CORDOVA,AAHU,0.060000,0.000000,0,0.060000,0
AK,99576,DILLINGHAM,AACM,0.060000,0.000000,0,0.060000,0
AK,99577,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99583,FALSE PASS,AAAT,0.030000,0.000000,0,0.030000,0
AK,99586,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99587,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99588,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99590,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99599,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99602,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99603,HOMER,AADJ,0.075000,0.000000,0.030000,0.045000,0
AK,99605,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99608,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99609,KASIGLUK,AABG,0.030000,0.000000,0,0.030000,0
AK,99610,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99611,KENAI,AADL,0.060000,0.000000,0.030000,0.030000,0
AK,99612,KING COVE,AAAU,0.060000,0.000000,0,0.060000,0
AK,99615,KODIAK,AAEA,0.070000,0.000000,0,0.070000,0
AK,99621,KWETHLUK,AABJ,0.050000,0.000000,0,0.050000,0
AK,99622,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99623,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99624,LARSEN BAY,AAEC,0.030000,0.000000,0,0.030000,0
AK,99631,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99633,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99634,NAPAKIAK,AABN,0.040000,0.000000,0,0.040000,0
AK,99635,KENAI,AADL,0.060000,0.000000,0.030000,0.030000,0
AK,99636,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99639,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99643,OLD HARBOR,AAEE,0.030000,0.000000,0,0.030000,0
AK,99644,OUZINKIE,AAED,0.030000,0.000000,0,0.030000,0
AK,99645,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99649,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99652,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99653,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99654,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99655,QUINHAGAK,AABS,0.030000,0.000000,0,0.030000,0
AK,99659,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99663,SELDOVIA,AADQ,0.050000,0.000000,0.030000,0.020000,0
AK,99664,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99665,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99666,EMMONAK,AAIF,0.030000,0.000000,0,0.030000,0
AK,99669,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99672,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99674,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99675,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99676,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99679,BETHEL,AABB,0.060000,0.000000,0,0.060000,0
AK,99682,KENAI PENINSULA BURROUGH,AADF,0.030000,0.000000,0.030000,0,0
AK,99683,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99684,UNALAKLEET,AAFQ,0.050000,0.000000,0,0.050000,0
AK,99685,UNALASKA,AAAH,0.030000,0.000000,0,0.030000,0
AK,99686,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99688,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99689,YAKUTAT,EHCP,0.050000,0.000000,0,0.050000,0
AK,99691,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99692,UNALASKA,AAAH,0.030000,0.000000,0,0.030000,0
AK,99694,HOUSTON,AAEV,0.020000,0.000000,0,0.020000,0
AK,99701,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99702,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99703,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99704,ANDERSON,AACE,0.060000,0.000000,0,0.060000,0
AK,99705,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99706,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99707,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99708,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99709,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99712,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99714,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99720,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99721,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99722,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99724,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99726,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99729,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99730,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99731,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99732,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99733,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99737,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
AK,99740,FORT YUKON,AAJE,0.030000,0.000000,0,0.030000,0
AK,99741,GALENA,AAJG,0.030000,0.000000,0,0.030000,0
AK,99743,ALASKA STATE,AAAA,0.000000,0.000000,0,0,0
