State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
AL,35004,MOODY,ADWE,0.090000,0.040000,0,0.030000,0.020000
AL,35005,ADAMSVILLE,ACKH,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35006,JEFFERSON COUNTY,ACKE,0.060000,0.040000,0.010000,0,0.010000
AL,35007,ALABASTER,ADRT,0.090000,0.040000,0.010000,0.030000,0.010000
AL,35010,ALEXANDER,AEBT,0.100000,0.040000,0.020000,0.040000,0
AL,35013,ALLGOOD,AAQV,0.070000,0.040000,0.020000,0.010000,0
AL,35014,TALLADEGA COUNTY,ADZP,0.070000,0.040000,0.030000,0,0
AL,35015,IRONDALE,ACNA,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35016,ARAB (MARSHALL CO),ADEU,0.090000,0.040000,0.000000,0.050000,0
AL,35019,CULLMAN COUNTY,ABMB,0.085000,0.040000,0.045000,0,0
AL,35020,BESSEMER,ACKT,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35021,BESSEMER,ACKT,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35022,BESSEMER,ACKT,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35023,HUEYTOWN,ACMV,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35031,BLOUNT COUNTY,AAQS,0.060000,0.040000,0.020000,0,0
AL,35032,CHILDERSBURG PJ,ADZZ,0.080000,0.040000,0.020000,0,0.020000
AL,35033,CULLMAN COUNTY,ABMB,0.085000,0.040000,0.045000,0,0
AL,35034,BIBB COUNTY,AAPQ,0.080000,0.040000,0.040000,0,0
AL,35035,BIBB COUNTY,AAPQ,0.080000,0.040000,0.040000,0,0
AL,35036,GARDENDALE,ACMD,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35038,DORA,AEFW,0.080000,0.040000,0.020000,0.020000,0
AL,35040,CALERA (SHELBY CO),ADSD,0.090000,0.040000,0.010000,0.040000,0
AL,35042,CENTREVILLE,AAQA,0.090000,0.040000,0.040000,0.010000,0
AL,35043,CHELSEA,ADSN,0.090000,0.040000,0.010000,0.040000,0
AL,35044,CHILDERSBURG,ADZW,0.090000,0.040000,0.010000,0.040000,0
AL,35045,CLANTON,AAYR,0.090000,0.040000,0.020000,0.030000,0
AL,35046,CHILTON COUNTY,AAYO,0.060000,0.040000,0.020000,0,0
AL,35048,CLAY,ACLP,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35049,CLEVELAND PJ,AARK,0.070000,0.040000,0.020000,0,0.010000
AL,35051,SHELBY COUNTY,ADRQ,0.050000,0.040000,0.010000,0,0
AL,35052,ST. CLAIR COUNTY,ADUY,0.060000,0.040000,0,0,0.020000
AL,35053,CULLMAN COUNTY,ABMB,0.085000,0.040000,0.045000,0,0
AL,35054,ST. CLAIR COUNTY,ADUY,0.060000,0.040000,0,0,0.020000
AL,35055,CULLMAN,ABMM,0.090000,0.040000,0.045000,0.005000,0
AL,35056,CULLMAN,ABMM,0.090000,0.040000,0.045000,0.005000,0
AL,35057,CULLMAN COUNTY,ABMB,0.085000,0.040000,0.045000,0,0
AL,35058,CULLMAN COUNTY,ABMB,0.085000,0.040000,0.045000,0,0
AL,35060,ADAMSVILLE PJ,ACKJ,0.080000,0.040000,0.010000,0,0.030000
AL,35061,BIRMINGHAM (JEFFERSON CO),ACKY,0.100000,0.040000,0.010000,0.040000,0.010000
AL,35062,DORA,AEFW,0.080000,0.040000,0.020000,0.020000,0
AL,35063,WALKER COUNTY,AEFJ,0.060000,0.040000,0.020000,0,0
AL,35064,FAIRFIELD,ACLV,0.100000,0.040000,0.010000,0.040000,0.010000
