State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
AR,71601,PINE BLUFF,AEZG,0.097500,0.065000,0.016250,0.016250,0
AR,71602,PINE BLUFF,AEZG,0.097500,0.065000,0.016250,0.016250,0
AR,71603,PINE BLUFF,AEZG,0.097500,0.065000,0.016250,0.016250,0
AR,71630,DESHA COUNTY,AETR,0.080000,0.065000,0.015000,0,0
AR,71631,BRADLEY COUNTY,AEOV,0.085000,0.065000,0.020000,0,0
AR,71635,ASHLEY COUNTY,AEMY,0.080000,0.065000,0.015000,0,0
AR,71638,DERMOTT,AEPM,0.115000,0.065000,0.030000,0.020000,0
AR,71639,DUMAS,AETT,0.105000,0.065000,0.015000,0.025000,0
AR,71640,EUDORA,AEPN,0.115000,0.065000,0.030000,0.020000,0
AR,71642,ASHLEY COUNTY,AEMY,0.080000,0.065000,0.015000,0,0
AR,71643,GOULD,AFBB,0.085000,0.065000,0.010000,0.010000,0
AR,71644,JEFFERSON COUNTY,AEZB,0.081250,0.065000,0.016250,0,0
AR,71646,ASHLEY COUNTY,AEMY,0.080000,0.065000,0.015000,0,0
AR,71647,BRADLEY COUNTY,AEOV,0.085000,0.065000,0.020000,0,0
AR,71651,BRADLEY COUNTY,AEOV,0.085000,0.065000,0.020000,0,0
AR,71652,CLEVELAND COUNTY,AEQY,0.097500,0.065000,0.032500,0,0
AR,71653,LAKE VILLAGE,AEPP,0.115000,0.065000,0.030000,0.020000,0
AR,71654,MCGEHEE,AETU,0.110000,0.065000,0.015000,0.030000,0
AR,71655,MONTICELLO,AEUC,0.100000,0.065000,0.025000,0.010000,0
AR,71658,ASHLEY COUNTY,AEMY,0.080000,0.065000,0.015000,0,0
AR,71659,JEFFERSON COUNTY,AEZB,0.081250,0.065000,0.016250,0,0
AR,71660,CLEVELAND COUNTY,AEQY,0.097500,0.065000,0.032500,0,0
AR,71661,ASHLEY COUNTY,AEMY,0.080000,0.065000,0.015000,0,0
AR,71662,DESHA COUNTY,AETR,0.080000,0.065000,0.015000,0,0
AR,71663,ASHLEY COUNTY,AEMY,0.080000,0.065000,0.015000,0,0
AR,71665,CLEVELAND COUNTY,AEQY,0.097500,0.065000,0.032500,0,0
AR,71667,LINCOLN COUNTY,AFBA,0.075000,0.065000,0.010000,0,0
AR,71670,DESHA COUNTY,AETR,0.080000,0.065000,0.015000,0,0
AR,71671,WARREN,AEOZ,0.095000,0.065000,0.020000,0.010000,0
AR,71674,DESHA COUNTY,AETR,0.080000,0.065000,0.015000,0,0
AR,71675,DREW COUNTY,AETZ,0.090000,0.065000,0.025000,0,0
