State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
CO,80001,ARVADA (JEFFERSON CO),AKJN,0.079600,0.029000,0.005000,0.034600,0.011000
CO,80002,ARVADA (JEFFERSON CO),AKJN,0.079600,0.029000,0.005000,0.034600,0.011000
CO,80003,ARVADA (JEFFERSON CO),AKJN,0.079600,0.029000,0.005000,0.034600,0.011000
CO,80004,ARVADA (JEFFERSON CO),AKJN,0.079600,0.029000,0.005000,0.034600,0.011000
CO,80005,ARVADA (JEFFERSON CO),AKJN,0.079600,0.029000,0.005000,0.034600,0.011000
CO,80006,ARVADA (JEFFERSON CO),AKJN,0.079600,0.029000,0.005000,0.034600,0.011000
CO,80007,ARVADA (JEFFERSON CO),AKJN,0.079600,0.029000,0.005000,0.034600,0.011000
CO,80010,AURORA (ADAMS CO),AKAF,0.085000,0.029000,0.007500,0.037500,0.011000
CO,80011,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80012,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80013,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80014,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80015,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80016,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80017,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80018,AURORA CD ONLY,EIPK,0.070000,0.029000,0.002500,0.037500,0.001000
CO,80019,AURORA (ADAMS CO),AKAF,0.085000,0.029000,0.007500,0.037500,0.011000
CO,80020,BROOMFIELD,AKAJ,0.081500,0.029000,0,0.041500,0.011000
CO,80021,WESTMINSTER (JEFFERSON CO),AKKJ,0.083500,0.029000,0.005000,0.038500,0.011000
CO,80022,COMMERCE,AKAK,0.092500,0.029000,0.007500,0.045000,0.011000
CO,80023,BROOMFIELD,AKAJ,0.081500,0.029000,0,0.041500,0.011000
CO,80025,BOULDER CO REMAINDER,EIFN,0.049850,0.029000,0.009850,0,0.011000
CO,80026,LAFAYETTE,AKCS,0.084850,0.029000,0.009850,0.035000,0.011000
CO,80027,LOUISVILLE,AKCU,0.084850,0.029000,0.009850,0.035000,0.011000
CO,80030,WESTMINSTER (ADAMS CO),AKAT,0.086000,0.029000,0.007500,0.038500,0.011000
CO,80031,WESTMINSTER (ADAMS CO),AKAT,0.086000,0.029000,0.007500,0.038500,0.011000
CO,80033,WHEAT RIDGE,AKKK,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80034,WHEAT RIDGE,AKKK,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80035,WESTMINSTER (ADAMS CO),AKAT,0.086000,0.029000,0.007500,0.038500,0.011000
CO,80036,WESTMINSTER (ADAMS CO),AKAT,0.086000,0.029000,0.007500,0.038500,0.011000
CO,80037,COMMERCE,AKAK,0.092500,0.029000,0.007500,0.045000,0.011000
CO,80038,BROOMFIELD,AKAJ,0.081500,0.029000,0,0.041500,0.011000
CO,80040,AURORA (ADAMS CO),AKAF,0.085000,0.029000,0.007500,0.037500,0.011000
CO,80041,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80042,AURORA (ADAMS CO),AKAF,0.085000,0.029000,0.007500,0.037500,0.011000
CO,80044,AURORA (ADAMS CO),AKAF,0.085000,0.029000,0.007500,0.037500,0.011000
CO,80045,AURORA (ADAMS CO),AKAF,0.085000,0.029000,0.007500,0.037500,0.011000
CO,80046,CENTENNIAL,DVLN,0.067500,0.029000,0.002500,0.025000,0.011000
CO,80047,AURORA (ARAPAHOE CO),AKBC,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80101,ELBERT COUNTY,AKHB,0.039000,0.029000,0.010000,0,0
CO,80102,ADAMS CO REMAINDER CULTUR,EIFP,0.037500,0.029000,0.007500,0,0.001000
CO,80103,ARAPAHOE CO REMAIND CULTU,EIFQ,0.032500,0.029000,0.002500,0,0.001000
CO,80104,CASTLE ROCK,AKFQ,0.079000,0.029000,0.010000,0.040000,0
CO,80105,ARAPAHOE CO REMAIND CULTU,EIFQ,0.032500,0.029000,0.002500,0,0.001000
CO,80106,EL PASO COUNTY / RTA,AKGN,0.051300,0.029000,0.012300,0,0.010000
CO,80107,ELBERT COUNTY,AKHB,0.039000,0.029000,0.010000,0,0
CO,80108,CASTLE ROCK,AKFQ,0.079000,0.029000,0.010000,0.040000,0
CO,80109,CASTLE ROCK,AKFQ,0.079000,0.029000,0.010000,0.040000,0
CO,80110,ENGLEWOOD,AKBJ,0.077500,0.029000,0.002500,0.035000,0.011000
CO,80111,GREENWOOD VILLAGE,AKBL,0.072500,0.029000,0.002500,0.030000,0.011000
CO,80112,CENTENNIAL,DVLN,0.067500,0.029000,0.002500,0.025000,0.011000
CO,80113,ENGLEWOOD,AKBJ,0.077500,0.029000,0.002500,0.035000,0.011000
CO,80116,DOUGLAS COUNTY / CD,EIAE,0.040000,0.029000,0.010000,0,0.001000
CO,80117,ELBERT COUNTY,AKHB,0.039000,0.029000,0.010000,0,0
CO,80118,DOUGLAS COUNTY / CD,EIAE,0.040000,0.029000,0.010000,0,0.001000
CO,80120,LITTLETON (ARAPAHOE CO),AKBN,0.072500,0.029000,0.002500,0.030000,0.011000
CO,80121,CENTENNIAL,DVLN,0.067500,0.029000,0.002500,0.025000,0.011000
CO,80122,CENTENNIAL,DVLN,0.067500,0.029000,0.002500,0.025000,0.011000
CO,80123,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80124,LONE TREE,EDJG,0.068125,0.029000,0.010000,0.018125,0.011000
CO,80125,DOUGLAS COUNTY / CD,EIAE,0.040000,0.029000,0.010000,0,0.001000
CO,80126,HIGHLANDS RANCH,CXYK,0.050000,0.029000,0.010000,0.000000,0.011000
CO,80127,JEFFERSON CO S E LID,EIPA,0.050000,0.029000,0.005000,0,0.016000
CO,80128,JEFFERSON CO S E LID,EIPA,0.050000,0.029000,0.005000,0,0.016000
CO,80129,HIGHLANDS RANCH,CXYK,0.050000,0.029000,0.010000,0.000000,0.011000
CO,80130,HIGHLANDS RANCH,CXYK,0.050000,0.029000,0.010000,0.000000,0.011000
CO,80131,DOUGLAS COUNTY / CD,EIAE,0.040000,0.029000,0.010000,0,0.001000
CO,80132,EL PASO COUNTY / RTA,AKGN,0.051300,0.029000,0.012300,0,0.010000
CO,80133,PALMER LAKE,AKGV,0.071300,0.029000,0.012300,0.030000,0
CO,80134,DOUGLAS CO REMAINDER,EIHW,0.050000,0.029000,0.010000,0,0.011000
CO,80135,DOUGLAS COUNTY / CD,EIAE,0.040000,0.029000,0.010000,0,0.001000
CO,80136,ADAMS CO REMAINDER CULTUR,EIFP,0.037500,0.029000,0.007500,0,0.001000
CO,80137,ADAMS CO REMAINDER CULTUR,EIFP,0.037500,0.029000,0.007500,0,0.001000
CO,80138,PARKER,AKFV,0.080000,0.029000,0.010000,0.030000,0.011000
CO,80150,ENGLEWOOD,AKBJ,0.077500,0.029000,0.002500,0.035000,0.011000
CO,80151,ENGLEWOOD,AKBJ,0.077500,0.029000,0.002500,0.035000,0.011000
CO,80155,CENTENNIAL,DVLN,0.067500,0.029000,0.002500,0.025000,0.011000
CO,80160,LITTLETON (ARAPAHOE CO),AKBN,0.072500,0.029000,0.002500,0.030000,0.011000
CO,80161,LITTLETON (ARAPAHOE CO),AKBN,0.072500,0.029000,0.002500,0.030000,0.011000
CO,80162,JEFFERSON CO S E LID,EIPA,0.050000,0.029000,0.005000,0,0.016000
CO,80163,HIGHLANDS RANCH,CXYK,0.050000,0.029000,0.010000,0.000000,0.011000
CO,80165,LITTLETON (ARAPAHOE CO),AKBN,0.072500,0.029000,0.002500,0.030000,0.011000
CO,80166,LITTLETON (ARAPAHOE CO),AKBN,0.072500,0.029000,0.002500,0.030000,0.011000
CO,80201,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80202,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80203,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80204,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80205,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80206,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80207,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80208,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80209,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80210,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80211,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80212,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80214,LAKEWOOD,AKKC,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80215,LAKEWOOD,AKKC,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80216,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80217,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80218,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80219,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80220,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80221,ADAMS CO REMAINDER,EHTT,0.047500,0.029000,0.007500,0,0.011000
CO,80222,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80223,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80224,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80225,LAKEWOOD,AKKC,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80226,LAKEWOOD,AKKC,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80227,LAKEWOOD,AKKC,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80228,LAKEWOOD,AKKC,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80229,THORNTON,AKAS,0.085000,0.029000,0.007500,0.037500,0.011000
CO,80230,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80231,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80232,LAKEWOOD,AKKC,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80233,NORTHGLENN (ADAMS CO),AKAQ,0.087500,0.029000,0.007500,0.040000,0.011000
CO,80234,WESTMINSTER (ADAMS CO),AKAT,0.086000,0.029000,0.007500,0.038500,0.011000
CO,80235,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80236,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80237,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80238,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80239,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80241,THORNTON,AKAS,0.085000,0.029000,0.007500,0.037500,0.011000
CO,80243,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80246,GLENDALE,AKBM,0.080000,0.029000,0.002500,0.037500,0.011000
CO,80247,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80248,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80249,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80250,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80251,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80256,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80257,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80259,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80260,FEDERAL HEIGHTS,AKAO,0.087500,0.029000,0.007500,0.040000,0.011000
CO,80261,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80262,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80263,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80264,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80265,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80266,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80271,ADAMS CO REMAINDER,EHTT,0.047500,0.029000,0.007500,0,0.011000
CO,80273,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80274,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80281,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80290,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80291,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80293,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80294,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80295,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80299,DENVER,AKFH,0.076500,0.029000,0,0.036500,0.011000
CO,80301,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80302,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80303,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80304,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80305,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80306,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80307,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80308,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80309,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80310,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80314,BOULDER,AKCM,0.088450,0.029000,0.009850,0.038600,0.011000
CO,80401,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80402,GOLDEN,AKJX,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80403,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80419,GOLDEN,AKJX,0.075000,0.029000,0.005000,0.030000,0.011000
CO,80420,ALMA,AKPJ,0.069000,0.029000,0.010000,0.030000,0
CO,80421,PARK COUNTY,AKPI,0.039000,0.029000,0.010000,0,0
CO,80422,COLORADO STATE,AKAC,0.029000,0.029000,0,0,0
CO,80423,EAGLE COUNTY,AKFY,0.044000,0.029000,0.010000,0,0.005000
CO,80424,BRECKENRIDGE,AKSJ,0.082750,0.029000,0.020000,0.025000,0.008750
CO,80425,PARK COUNTY,AKPI,0.039000,0.029000,0.010000,0,0
CO,80426,EAGLE COUNTY,AKFY,0.044000,0.029000,0.010000,0,0.005000
CO,80427,CENTRAL,AKIC,0.069000,0.029000,0,0.040000,0
CO,80428,ROUTT COUNTY,AKRD,0.039000,0.029000,0.010000,0,0
CO,80429,LAKE COUNTY,AKLE,0.069000,0.029000,0.040000,0,0
CO,80430,JACKSON COUNTY,AKJG,0.069000,0.029000,0.040000,0,0
CO,80432,PARK COUNTY,AKPI,0.039000,0.029000,0.010000,0,0
CO,80433,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80434,JACKSON COUNTY,AKJG,0.069000,0.029000,0.040000,0,0
CO,80435,SUMMIT COUNTY,AKSH,0.057750,0.029000,0.020000,0,0.008750
CO,80436,CLEAR CREEK COUNTY,AKDO,0.039000,0.029000,0.010000,0,0
CO,80437,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80438,EMPIRE,AKDQ,0.069000,0.029000,0.010000,0.030000,0
CO,80439,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80440,PARK COUNTY,AKPI,0.039000,0.029000,0.010000,0,0
CO,80442,FRASER,AKIF,0.079000,0.029000,0.010000,0.040000,0
CO,80443,FRISCO,AKSL,0.077750,0.029000,0.020000,0.020000,0.008750
CO,80444,GEORGETOWN,AKDR,0.079000,0.029000,0.010000,0.040000,0
CO,80446,GRAND COUNTY,AKIE,0.039000,0.029000,0.010000,0,0
CO,80447,GRAND COUNTY,AKIE,0.039000,0.029000,0.010000,0,0
CO,80448,PARK COUNTY,AKPI,0.039000,0.029000,0.010000,0,0
CO,80449,PARK COUNTY,AKPI,0.039000,0.029000,0.010000,0,0
CO,80451,HOT SULPHUR SPGS,AKII,0.079000,0.029000,0.010000,0.040000,0
CO,80452,CLEAR CREEK COUNTY,AKDO,0.039000,0.029000,0.010000,0,0
CO,80453,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80454,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80455,BOULDER CO REMAINDER,EIFN,0.049850,0.029000,0.009850,0,0.011000
CO,80456,PARK COUNTY,AKPI,0.039000,0.029000,0.010000,0,0
CO,80457,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80459,GRAND COUNTY,AKIE,0.039000,0.029000,0.010000,0,0
CO,80461,LAKE COUNTY,AKLE,0.069000,0.029000,0.040000,0,0
CO,80463,EAGLE COUNTY,AKFY,0.044000,0.029000,0.010000,0,0.005000
CO,80465,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80466,BOULDER CO REMAINDER,EIFN,0.049850,0.029000,0.009850,0,0.011000
CO,80467,ROUTT COUNTY,AKRD,0.039000,0.029000,0.010000,0,0
CO,80468,GRAND COUNTY,AKIE,0.039000,0.029000,0.010000,0,0
CO,80469,ROUTT COUNTY,AKRD,0.039000,0.029000,0.010000,0,0
CO,80470,JEFFERSON CO REMAINDER,EIFO,0.045000,0.029000,0.005000,0,0.011000
CO,80471,BOULDER CO REMAINDER,EIFN,0.049850,0.029000,0.009850,0,0.011000
CO,80473,JACKSON COUNTY,AKJG,0.069000,0.029000,0.040000,0,0
CO,80474,COLORADO STATE,AKAC,0.029000,0.029000,0,0,0
CO,80475,PARK COUNTY,AKPI,0.039000,0.029000,0.010000,0,0
CO,80476,SILVER PLUME,AKDT,0.069000,0.029000,0.010000,0.030000,0
CO,80477,STEAMBOAT SPRINGS,AKRJ,0.086500,0.029000,0.010000,0.047500,0
CO,80478,GRAND COUNTY,AKIE,0.039000,0.029000,0.010000,0,0
CO,80479,ROUTT COUNTY,AKRD,0.039000,0.029000,0.010000,0,0
CO,80480,JACKSON COUNTY,AKJG,0.069000,0.029000,0.040000,0,0
CO,80481,BOULDER CO REMAINDER,EIFN,0.049850,0.029000,0.009850,0,0.011000
CO,80482,WINTER PARK,AKIM,0.109000,0.029000,0.010000,0.070000,0
CO,80483,YAMPA,AKRL,0.059000,0.029000,0.010000,0.020000,0
CO,80487,STEAMBOAT SPRINGS,AKRJ,0.086500,0.029000,0.010000,0.047500,0
CO,80497,SILVERTHORNE,AKSM,0.077750,0.029000,0.020000,0.020000,0.008750
CO,80498,SILVERTHORNE,AKSM,0.077750,0.029000,0.020000,0.020000,0.008750
CO,80501,LONGMONT,AKCT,0.082600,0.029000,0.009850,0.032750,0.011000
CO,80502,LONGMONT,AKCT,0.082600,0.029000,0.009850,0.032750,0.011000
CO,80503,LONGMONT,AKCT,0.082600,0.029000,0.009850,0.032750,0.011000
CO,80504,LONGMONT,AKCT,0.082600,0.029000,0.009850,0.032750,0.011000
CO,80510,BOULDER CO REMAINDER,EIFN,0.049850,0.029000,0.009850,0,0.011000
CO,80511,LARIMER COUNTY,AKLI,0.035500,0.029000,0.006500,0,0
CO,80512,LARIMER COUNTY,AKLI,0.035500,0.029000,0.006500,0,0
CO,80513,LARIMER COUNTY,AKLI,0.035500,0.029000,0.006500,0,0
CO,80514,DACONO,AKTH,0.059000,0.029000,0,0.030000,0
CO,80515,LARIMER COUNTY,AKLI,0.035500,0.029000,0.006500,0,0
CO,80516,ERIE (WELD CO),AKTJ,0.074000,0.029000,0,0.035000,0.010000
CO,80517,ESTES PARK,AKLM,0.085500,0.029000,0.006500,0.050000,0
CO,80520,FIRESTONE,AKTL,0.059000,0.029000,0,0.030000,0
CO,80521,FORT COLLINS,AKLN,0.074000,0.029000,0.006500,0.038500,0
CO,80522,FORT COLLINS,AKLN,0.074000,0.029000,0.006500,0.038500,0
CO,80523,FORT COLLINS,AKLN,0.074000,0.029000,0.006500,0.038500,0
CO,80524,FORT COLLINS,AKLN,0.074000,0.029000,0.006500,0.038500,0
CO,80525,FORT COLLINS,AKLN,0.074000,0.029000,0.006500,0.038500,0
CO,80526,FORT COLLINS,AKLN,0.074000,0.029000,0.006500,0.038500,0
CO,80527,FORT COLLINS,AKLN,0.074000,0.029000,0.006500,0.038500,0
CO,80528,FORT COLLINS,AKLN,0.074000,0.029000,0.006500,0.038500,0
CO,80530,FREDERICK,AKTN,0.054000,0.029000,0,0.025000,0
CO,80532,LARIMER COUNTY,AKLI,0.035500,0.029000,0.006500,0,0
CO,80533,BOULDER CO REMAINDER,EIFN,0.049850,0.029000,0.009850,0,0.011000
CO,80534,JOHNSTOWN,AKTW,0.059000,0.029000,0,0.030000,0
CO,80535,LARIMER COUNTY,AKLI,0.035500,0.029000,0.006500,0,0
CO,80536,LARIMER COUNTY,AKLI,0.035500,0.029000,0.006500,0,0
CO,80537,LOVELAND,AKLP,0.065500,0.029000,0.006500,0.030000,0
