State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
CT,06001,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06002,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06006,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06010,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06011,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06013,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06016,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06018,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06019,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06020,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06021,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06022,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06023,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06024,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06025,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06026,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06027,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06028,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06029,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06030,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06031,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06032,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06033,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06034,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06035,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06037,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06039,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06040,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06041,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06042,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06043,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06045,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06050,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06051,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06052,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06053,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06057,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
CT,06058,CONNECTICUT STATE,AKUV,0.063500,0.063500,0,0,0
