State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
DC,20001,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20002,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20003,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20004,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20005,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20006,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20007,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20008,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20009,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20010,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20011,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20012,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20013,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20015,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20016,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20017,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20018,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20019,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20020,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20022,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20023,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20024,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20026,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20027,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20029,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20030,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20032,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20033,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20035,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20036,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20037,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20038,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20039,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20040,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20042,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20043,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20044,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20045,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20047,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20049,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20051,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20052,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20053,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20055,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20056,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20057,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20058,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20059,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20060,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20062,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20063,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20064,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20065,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20066,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
DC,20068,DISTRICT OF COLUMBIA,AKUW,0.057500,0.057500,0,0,0
