State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
HI,96701,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96703,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96704,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96705,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96706,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96707,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96708,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96709,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96710,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96712,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96713,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96714,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96715,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96716,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96717,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96719,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96720,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96721,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96722,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96725,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96726,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96727,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96728,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96729,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96730,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96731,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96732,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96733,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96734,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96737,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96738,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96739,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96740,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96741,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96743,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96744,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96745,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96746,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96748,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96749,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96750,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96751,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96752,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96753,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96754,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96755,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96756,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96757,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96759,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96760,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96761,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96762,HONOLULU,CIIK,0.045000,0.040000,0.005000,0,0
HI,96763,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96764,HAWAII COUNTY,CIHD,0.040000,0.040000,0.000000,0,0
HI,96765,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96766,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
HI,96767,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96768,MAUI COUNTY,CIKR,0.040000,0.040000,0.000000,0,0
HI,96769,KAUAI COUNTY,CIJZ,0.040000,0.040000,0.000000,0,0
