State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
IA,50001,WARREN COUNTY,APKO,0.060000,0.060000,0.000000,0,0
IA,50002,ADAIR COUNTY,ANXV,0.070000,0.060000,0.010000,0,0
IA,50003,DALLAS COUNTY,AOHU,0.060000,0.060000,0.000000,0,0
IA,50005,MARSHALL COUNTY,AOYU,0.070000,0.060000,0.010000,0,0
IA,50006,HARDIN COUNTY,AOOV,0.070000,0.060000,0.010000,0,0
IA,50007,POLK COUNTY,APDV,0.060000,0.060000,0.000000,0,0
IA,50008,WAYNE COUNTY,APLL,0.070000,0.060000,0.010000,0,0
IA,50009,POLK COUNTY,APDV,0.060000,0.060000,0.000000,0,0
IA,50010,STORY COUNTY,APIA,0.070000,0.060000,0.010000,0,0
IA,50011,STORY COUNTY,APIA,0.070000,0.060000,0.010000,0,0
IA,50012,STORY COUNTY,APIA,0.070000,0.060000,0.010000,0,0
IA,50013,STORY COUNTY,APIA,0.070000,0.060000,0.010000,0,0
IA,50014,STORY COUNTY,APIA,0.070000,0.060000,0.010000,0,0
IA,50020,CASS COUNTY,AODL,0.070000,0.060000,0.010000,0,0
IA,50021,POLK COUNTY,APDV,0.060000,0.060000,0.000000,0,0
IA,50022,CASS COUNTY,AODL,0.070000,0.060000,0.010000,0,0
IA,50023,POLK COUNTY,APDV,0.060000,0.060000,0.000000,0,0
IA,50025,AUDUBON COUNTY,ANYZ,0.070000,0.060000,0.010000,0,0
IA,50026,GUTHRIE COUNTY,AONS,0.070000,0.060000,0.010000,0,0
IA,50027,MAHASKA COUNTY,AOXS,0.070000,0.060000,0.010000,0,0
IA,50028,JASPER COUNTY,AOSI,0.070000,0.060000,0.010000,0,0
IA,50029,GUTHRIE COUNTY,AONS,0.070000,0.060000,0.010000,0,0
IA,50031,BOONE COUNTY,AOAI,0.070000,0.060000,0.010000,0,0
IA,50032,POLK COUNTY,APDV,0.060000,0.060000,0.000000,0,0
IA,50033,BEVINGTON (MADISON CO),AOXK,0.070000,0.060000,0.000000,0.010000,0
IA,50034,HAMILTON COUNTY,AOOC,0.070000,0.060000,0.010000,0,0
IA,50035,POLK COUNTY,APDV,0.060000,0.060000,0.000000,0,0
IA,50036,BOONE COUNTY,AOAI,0.070000,0.060000,0.010000,0,0
IA,50038,DALLAS COUNTY,AOHU,0.060000,0.060000,0.000000,0,0
IA,50039,DALLAS COUNTY,AOHU,0.060000,0.060000,0.000000,0,0
IA,50040,BOONE COUNTY,AOAI,0.070000,0.060000,0.010000,0,0
IA,50041,FRANKLIN COUNTY,AOMC,0.070000,0.060000,0.010000,0,0
