State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
IL,60002,LAKE COUNTY,ASEQ,0.070000,0.062500,0.000000,0,0.007500
IL,60004,ARLINGTON HEIGHTS,AQOG,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60005,ARLINGTON HEIGHTS,AQOG,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60006,ARLINGTON HEIGHTS,AQOG,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60007,ELK GROVE VILLAGE (COOK CO),AQQC,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60008,ROLLING MEADOWS,AQUI,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60009,ELK GROVE VILLAGE (COOK CO),AQQC,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60010,LAKE BARRINGTON,DHGF,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60011,BARRINGTON (COOK CO),AQPI,0.080000,0.062500,0.007500,0.000000,0.010000
IL,60012,MCHENRY COUNTY,ASUK,0.070000,0.062500,0.000000,0,0.007500
IL,60013,CARY,ASUR,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60014,CRYSTAL LAKE,ASUT,0.077500,0.062500,0.000000,0.007500,0.007500
IL,60015,DEERFIELD (LAKE CO),ASEZ,0.080000,0.062500,0.000000,0.010000,0.007500
IL,60016,DES PLAINES,AQPY,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60017,DES PLAINES,AQPY,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60018,DES PLAINES,AQPY,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60019,DES PLAINES,AQPY,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60020,FOX LAKE (LAKE CO),ASFD,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60021,FOX RIVER GROVE (MC HENRY CO),ASUV,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60022,GLENCOE,AQQU,0.080000,0.062500,0.007500,0.000000,0.010000
IL,60025,GLENVIEW,AQQW,0.087500,0.062500,0.007500,0.007500,0.010000
IL,60026,GLENVIEW,AQQW,0.087500,0.062500,0.007500,0.007500,0.010000
IL,60029,GOLF,AQRC,0.080000,0.062500,0.007500,0.000000,0.010000
IL,60030,GRAYSLAKE,ASFF,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60031,GURNEE,ASFJ,0.080000,0.062500,0.000000,0.010000,0.007500
IL,60033,HARVARD,ASUX,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60034,HEBRON,ASUZ,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60035,HIGHLAND PARK,ASFL,0.080000,0.062500,0.000000,0.010000,0.007500
IL,60037,LAKE FOREST,ASFV,0.075000,0.062500,0.000000,0.005000,0.007500
IL,60038,PALATINE,AQTS,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60039,CRYSTAL LAKE,ASUT,0.077500,0.062500,0.000000,0.007500,0.007500
IL,60040,HIGHWOOD,ASFN,0.087500,0.062500,0.000000,0.017500,0.007500
IL,60041,LAKE COUNTY,ASEQ,0.070000,0.062500,0.000000,0,0.007500
IL,60042,ISLAND LAKE (LAKE CO),ASFR,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60043,KENILWORTH,AQSA,0.080000,0.062500,0.007500,0.000000,0.010000
IL,60044,LAKE BLUFF,ASFT,0.080000,0.062500,0.000000,0.010000,0.007500
IL,60045,LAKE FOREST,ASFV,0.075000,0.062500,0.000000,0.005000,0.007500
IL,60046,LAKE COUNTY,ASEQ,0.070000,0.062500,0.000000,0,0.007500
IL,60047,LAKE ZURICH,ASFZ,0.075000,0.062500,0.000000,0.005000,0.007500
IL,60048,LIBERTYVILLE,ASGB,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60050,MCHENRY,ASVJ,0.075000,0.062500,0.000000,0.005000,0.007500
IL,60051,MCHENRY COUNTY,ASUK,0.070000,0.062500,0.000000,0,0.007500
IL,60053,MORTON GROVE,AQSO,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60055,PALATINE,AQTS,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60056,MOUNT PROSPECT,AQSM,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60060,MUNDELEIN,ASGH,0.080000,0.062500,0.000000,0.010000,0.007500
IL,60061,VERNON HILLS,ASGP,0.072500,0.062500,0.000000,0.002500,0.007500
IL,60062,NORTHBROOK (COOK CO),AQTE,0.087500,0.062500,0.007500,0.007500,0.010000
IL,60064,NORTH CHICAGO,ASGJ,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60065,NORTHBROOK (COOK CO),AQTE,0.087500,0.062500,0.007500,0.007500,0.010000
IL,60067,PALATINE,AQTS,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60068,PARK RIDGE,AQUC,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60069,LINCOLNSHIRE,ASGD,0.075000,0.062500,0.000000,0.005000,0.007500
IL,60070,PROSPECT HEIGHTS,AQUG,0.085000,0.062500,0.007500,0.005000,0.010000
IL,60071,RICHMOND,ASVL,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60072,RINGWOOD,ASVN,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60073,ROUND LAKE BEACH,DHTL,0.075000,0.062500,0.000000,0.005000,0.007500
IL,60074,PALATINE,AQTS,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60075,LAKE COUNTY,ASEQ,0.070000,0.062500,0.000000,0,0.007500
IL,60076,SKOKIE,AQVC,0.092500,0.062500,0.007500,0.012500,0.010000
IL,60077,SKOKIE,AQVC,0.092500,0.062500,0.007500,0.012500,0.010000
IL,60078,PALATINE,AQTS,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60079,WAUKEGAN,ASGX,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60081,SPRING GROVE,ASVR,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60082,NORTHBROOK (COOK CO),AQTE,0.087500,0.062500,0.007500,0.007500,0.010000
IL,60083,WADSWORTH,ASGT,0.080000,0.062500,0.000000,0.010000,0.007500
IL,60084,WAUCONDA,ASGV,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60085,WAUKEGAN,ASGX,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60086,NORTH CHICAGO,ASGJ,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60087,WAUKEGAN,ASGX,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60088,NORTH CHICAGO,ASGJ,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60089,BUFFALO GROVE (LAKE CO),ASEV,0.080000,0.062500,0.000000,0.010000,0.007500
IL,60090,WHEELING (COOK CO),AQVY,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60091,WILMETTE,AQWG,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60093,WINNETKA,AQWI,0.080000,0.062500,0.007500,0.000000,0.010000
IL,60095,PALATINE,AQTS,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60096,WINTHROP HARBOR,ASGZ,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60097,MCHENRY COUNTY,ASUK,0.070000,0.062500,0.000000,0,0.007500
IL,60098,WOODSTOCK,ASVX,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60099,ZION,ASHB,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60101,ADDISON,ARAL,0.082500,0.062500,0.002500,0.010000,0.007500
IL,60102,ALGONQUIN (MC HENRY CO),ASUP,0.077500,0.062500,0.000000,0.007500,0.007500
IL,60103,BARTLETT (COOK CO),AQOS,0.080000,0.062500,0.007500,0.000000,0.010000
IL,60104,BELLWOOD,AQOW,0.095000,0.062500,0.007500,0.015000,0.010000
IL,60105,BENSENVILLE (DU PAGE CO),ARAN,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60106,BENSENVILLE (DU PAGE CO),ARAN,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60107,STREAMWOOD,AQVG,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60108,BLOOMINGDALE,ARAT,0.077500,0.062500,0.002500,0.005000,0.007500
IL,60109,BURLINGTON,ARXU,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60110,CARPENTERSVILLE,ARXW,0.090000,0.062500,0.000000,0.020000,0.007500
IL,60111,DEKALB COUNTY,AQXQ,0.062500,0.062500,0.000000,0,0
IL,60112,CORTLAND,AQXU,0.072500,0.062500,0.000000,0.010000,0
IL,60113,CRESTON,ATCZ,0.062500,0.062500,0.000000,0.000000,0
IL,60115,DEKALB,AQXW,0.080000,0.062500,0.000000,0.017500,0
IL,60116,CAROL STREAM,ARAX,0.080000,0.062500,0.002500,0.007500,0.007500
IL,60117,BLOOMINGDALE,ARAT,0.077500,0.062500,0.002500,0.005000,0.007500
IL,60118,WEST DUNDEE,ARZG,0.085000,0.062500,0.000000,0.015000,0.007500
IL,60119,ELBURN,ARYC,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60120,ELGIN (KANE CO),ARYA,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60121,ELGIN (KANE CO),ARYA,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60122,CAROL STREAM,ARAX,0.080000,0.062500,0.002500,0.007500,0.007500
IL,60123,ELGIN (KANE CO),ARYA,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60124,KANE COUNTY,ARXJ,0.070000,0.062500,0.000000,0,0.007500
IL,60126,ELMHURST (DU PAGE CO),ARBH,0.080000,0.062500,0.002500,0.007500,0.007500
IL,60128,CAROL STREAM,ARAX,0.080000,0.062500,0.002500,0.007500,0.007500
IL,60129,DEKALB COUNTY,AQXQ,0.062500,0.062500,0.000000,0,0
IL,60130,FOREST PARK,AQQQ,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60131,FRANKLIN PARK,AQQS,0.090000,0.062500,0.007500,0.010000,0.010000
IL,60133,HANOVER PARK (COOK CO),AQRI,0.087500,0.062500,0.007500,0.007500,0.010000
IL,60134,GENEVA,ARYE,0.075000,0.062500,0.000000,0.005000,0.007500
IL,60135,GENOA,AQYA,0.062500,0.062500,0.000000,0.000000,0
IL,60136,GILBERTS,ARYG,0.080000,0.062500,0.000000,0.010000,0.007500
IL,60137,GLEN ELLYN,ARBN,0.082500,0.062500,0.002500,0.010000,0.007500
IL,60138,GLEN ELLYN,ARBN,0.082500,0.062500,0.002500,0.010000,0.007500
IL,60139,GLENDALE HEIGHTS,ARBP,0.082500,0.062500,0.000000,0.012500,0.007500
IL,60140,KANE COUNTY,ARXJ,0.070000,0.062500,0.000000,0,0.007500
IL,60141,COOK COUNTY,AQOD,0.080000,0.062500,0.007500,0,0.010000
IL,60142,HUNTLEY (MC HENRY CO),ASVB,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60143,ITASCA,ARBV,0.077500,0.062500,0.002500,0.005000,0.007500
IL,60144,KANEVILLE,ARYK,0.070000,0.062500,0.000000,0.000000,0.007500
IL,60145,DEKALB COUNTY,AQXQ,0.062500,0.062500,0.000000,0,0
IL,60146,DEKALB COUNTY,AQXQ,0.062500,0.062500,0.000000,0,0
IL,60147,KANE COUNTY,ARXJ,0.070000,0.062500,0.000000,0,0.007500
IL,60148,LOMBARD,ARBZ,0.082500,0.062500,0.002500,0.000000,0.017500
