State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
KS,66002,ATCHISON,AUJF,0.087500,0.065000,0.012500,0.010000,0
KS,66006,BALDWIN,AUPS,0.087500,0.065000,0.010000,0.012500,0
KS,66007,BASEHOR,AUXE,0.085000,0.065000,0.010000,0.010000,0
KS,66008,DONIPHAN COUNTY,AUPJ,0.075000,0.065000,0.010000,0,0
KS,66010,LINN COUNTY,AUXQ,0.065000,0.065000,0.000000,0,0
KS,66012,BONNER SPRINGS (WYANDOTTE CO),AVMX,0.092500,0.065000,0.010000,0.017500,0
KS,66013,MIAMI COUNTY,AUZZ,0.080000,0.065000,0.015000,0,0
KS,66014,LINN COUNTY,AUXQ,0.065000,0.065000,0.000000,0,0
KS,66015,ANDERSON COUNTY,AUIX,0.080000,0.065000,0.015000,0,0
KS,66016,ATCHISON COUNTY,AUJE,0.077500,0.065000,0.012500,0,0
KS,66017,DONIPHAN COUNTY,AUPJ,0.075000,0.065000,0.010000,0,0
KS,66018,DE SOTO (JOHNSON CO),AUVF,0.094750,0.065000,0.012250,0.017500,0
KS,66020,LEAVENWORTH COUNTY,AUXD,0.075000,0.065000,0.010000,0,0
KS,66021,EDGERTON,AUVG,0.087250,0.065000,0.012250,0.010000,0
KS,66023,ATCHISON COUNTY,AUJE,0.077500,0.065000,0.012500,0,0
KS,66024,ELWOOD,AUPM,0.085000,0.065000,0.010000,0.010000,0
KS,66025,EUDORA,AUPT,0.092500,0.065000,0.010000,0.017500,0
KS,66026,MIAMI COUNTY,AUZZ,0.080000,0.065000,0.015000,0,0
KS,66027,LEAVENWORTH,AUXI,0.095000,0.065000,0.010000,0.020000,0
KS,66030,GARDNER,AUVI,0.092250,0.065000,0.012250,0.015000,0
KS,66031,JOHNSON COUNTY,AUVC,0.077250,0.065000,0.012250,0,0
KS,66032,ANDERSON COUNTY,AUIX,0.080000,0.065000,0.015000,0,0
KS,66033,ANDERSON COUNTY,AUIX,0.080000,0.065000,0.015000,0,0
KS,66035,HIGHLAND,AUPN,0.085000,0.065000,0.010000,0.010000,0
KS,66036,MIAMI COUNTY,AUZZ,0.080000,0.065000,0.015000,0,0
KS,66039,ANDERSON COUNTY,AUIX,0.080000,0.065000,0.015000,0,0
KS,66040,LINN COUNTY,AUXQ,0.065000,0.065000,0.000000,0,0
KS,66041,ATCHISON COUNTY,AUJE,0.077500,0.065000,0.012500,0,0
KS,66042,MIAMI COUNTY,AUZZ,0.080000,0.065000,0.015000,0,0
KS,66043,LANSING,AUXH,0.085000,0.065000,0.010000,0.010000,0
KS,66044,LAWRENCE,AUPU,0.090500,0.065000,0.010000,0.015500,0
KS,66045,LAWRENCE,AUPU,0.090500,0.065000,0.010000,0.015500,0
KS,66046,LAWRENCE,AUPU,0.090500,0.065000,0.010000,0.015500,0
KS,66047,LAWRENCE,AUPU,0.090500,0.065000,0.010000,0.015500,0
KS,66048,LEAVENWORTH,AUXI,0.095000,0.065000,0.010000,0.020000,0
KS,66049,LAWRENCE,AUPU,0.090500,0.065000,0.010000,0.015500,0
KS,66050,DOUGLAS COUNTY,AUPR,0.075000,0.065000,0.010000,0,0
KS,66051,OLATHE,AUVP,0.092250,0.065000,0.012250,0.015000,0
KS,66052,LEAVENWORTH COUNTY,AUXD,0.075000,0.065000,0.010000,0,0
KS,66053,MIAMI COUNTY,AUZZ,0.080000,0.065000,0.015000,0,0
KS,66054,JEFFERSON COUNTY,AUUK,0.075000,0.065000,0.010000,0,0
KS,66056,LINN COUNTY,AUXQ,0.065000,0.065000,0.000000,0,0
KS,66058,ATCHISON COUNTY,AUJE,0.077500,0.065000,0.012500,0,0
KS,66060,JEFFERSON COUNTY,AUUK,0.075000,0.065000,0.010000,0,0
KS,66061,OLATHE,AUVP,0.092250,0.065000,0.012250,0.015000,0
KS,66062,OLATHE,AUVP,0.092250,0.065000,0.012250,0.015000,0
KS,66063,OLATHE,AUVP,0.092250,0.065000,0.012250,0.015000,0
KS,66064,MIAMI COUNTY,AUZZ,0.080000,0.065000,0.015000,0,0
KS,66066,JEFFERSON COUNTY,AUUK,0.075000,0.065000,0.010000,0,0
KS,66067,OTTAWA,AURK,0.091000,0.065000,0.015000,0.011000,0
KS,66070,JEFFERSON COUNTY,AUUK,0.075000,0.065000,0.010000,0,0
KS,66071,MIAMI COUNTY,AUZZ,0.080000,0.065000,0.015000,0,0
KS,66072,LINN COUNTY,AUXQ,0.065000,0.065000,0.000000,0,0
KS,66073,JEFFERSON COUNTY,AUUK,0.075000,0.065000,0.010000,0,0
KS,66075,LINN COUNTY,AUXQ,0.065000,0.065000,0.000000,0,0
KS,66076,FRANKLIN COUNTY,AURI,0.080000,0.065000,0.015000,0,0
KS,66078,FRANKLIN COUNTY,AURI,0.080000,0.065000,0.015000,0,0
KS,66079,FRANKLIN COUNTY,AURI,0.080000,0.065000,0.015000,0,0
KS,66080,FRANKLIN COUNTY,AURI,0.080000,0.065000,0.015000,0,0
KS,66083,MIAMI COUNTY,AUZZ,0.080000,0.065000,0.015000,0,0
KS,66085,JOHNSON COUNTY,AUVC,0.077250,0.065000,0.012250,0,0
KS,66086,LEAVENWORTH COUNTY,AUXD,0.075000,0.065000,0.010000,0,0
KS,66087,DONIPHAN COUNTY,AUPJ,0.075000,0.065000,0.010000,0,0
KS,66088,JEFFERSON COUNTY,AUUK,0.075000,0.065000,0.010000,0,0
KS,66090,WATHENA,AUPP,0.085000,0.065000,0.010000,0.010000,0
KS,66091,ANDERSON COUNTY,AUIX,0.080000,0.065000,0.015000,0,0
KS,66092,FRANKLIN COUNTY,AURI,0.080000,0.065000,0.015000,0,0
KS,66093,ANDERSON COUNTY,AUIX,0.080000,0.065000,0.015000,0,0
KS,66094,DONIPHAN COUNTY,AUPJ,0.075000,0.065000,0.010000,0,0
KS,66095,FRANKLIN COUNTY,AURI,0.080000,0.065000,0.015000,0,0
KS,66097,JEFFERSON COUNTY,AUUK,0.075000,0.065000,0.010000,0,0
KS,66101,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66102,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66103,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66104,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66105,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66106,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66109,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66111,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66112,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66115,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66117,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66118,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66119,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66160,KANSAS,AVMZ,0.091250,0.065000,0.010000,0.016250,0
KS,66201,MISSION,EHOA,0.093500,0.065000,0.012250,0.016250,0
KS,66202,MISSION,EHOA,0.093500,0.065000,0.012250,0.016250,0
