State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
MD,20601,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20602,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20603,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20604,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20606,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20607,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20608,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20609,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20610,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20611,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20612,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20613,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20615,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20616,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20617,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20618,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20619,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20620,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20621,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20622,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20623,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20624,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20625,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20626,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20627,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20628,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20629,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20630,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20632,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20634,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20635,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20636,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20637,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20639,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20640,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20643,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20645,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
MD,20646,MARYLAND STATE,AWLZ,0.060000,0.060000,0,0,0
