State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
MN,55001,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55002,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55003,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55005,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55006,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55007,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55008,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55009,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55010,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55011,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55012,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55013,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55014,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55016,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55017,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55018,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55019,RICE COUNTY,AXOD,0.073750,0.068750,0,0,0.005000
MN,55020,SCOTT COUNTY,AXPF,0.073750,0.068750,0,0,0.005000
MN,55021,RICE COUNTY,AXOD,0.073750,0.068750,0,0,0.005000
MN,55024,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55025,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55026,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55027,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55029,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55030,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55031,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55032,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55033,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55036,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55037,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55038,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55040,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55041,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
MN,55042,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55043,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55044,MN TRANSIT IMPROV DIST TL,EHWK,0.071250,0.068750,0,0,0.002500
MN,55045,MINNESOTA STATE,AWMC,0.068750,0.068750,0,0,0
