State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
MO,63005,CHESTERFIELD,AZSJ,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63006,TOWN AND COUNTRY,AZTX,0.083630,0.042250,0.016380,0.012500,0.012500
MO,63010,ARNOLD,AYUB,0.083500,0.042250,0.016250,0.012500,0.012500
MO,63011,BALLWIN,AZRS,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63012,JEFFERSON CO ANTONIA FIRE/ROCK TWNSHP AMB,EHYO,0.071000,0.042250,0.016250,0,0.012500
MO,63013,FRANKLIN CO GERALD AMB DI,EIGF,0.064750,0.042250,0.017500,0,0.005000
MO,63014,FRANKLIN CO/HERMANN AREA AMBULANCE DISTRICT,EGRZ,0.064750,0.042250,0.017500,0,0.005000
MO,63015,FRANKLIN CO MERAMEC AMB,EIIT,0.064750,0.042250,0.017500,0,0.005000
MO,63016,JEFFERSON CO BIG RIVER AMB,EHWU,0.068500,0.042250,0.016250,0,0.010000
MO,63017,CHESTERFIELD,AZSJ,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63019,CRYSTAL,AYUF,0.091000,0.042250,0.016250,0.022500,0.010000
MO,63020,JEFF CO VALLE AMB DIST,EMNF,0.068500,0.042250,0.016250,0,0.010000
MO,63021,ST. LOUIS COUNTY,AZRP,0.071130,0.042250,0.016380,0,0.012500
MO,63022,BALLWIN,AZRS,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63023,JEFFERSON CO BIG RIVER AMB,EHWU,0.068500,0.042250,0.016250,0,0.010000
MO,63024,BALLWIN,AZRS,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63025,EUREKA,AZSO,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63026,ST. LOUIS COUNTY,AZRP,0.071130,0.042250,0.016380,0,0.012500
MO,63028,JEFFERSON CO JOACHIM-PLATTIN AMB,EGNN,0.068500,0.042250,0.016250,0,0.010000
MO,63030,WASHINGTON COUNTY / WASHINGTON CO AMBULANCE DIST,AZYI,0.072250,0.042250,0.025000,0,0.005000
MO,63031,FLORISSANT,AZST,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63032,FLORISSANT,AZST,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63033,FLORISSANT,AZST,0.081130,0.042250,0.016380,0.010000,0.012500
MO,63034,ST. LOUIS COUNTY,AZRP,0.071130,0.042250,0.016380,0,0.012500
MO,63036,ST. FRANCOIS COUNTY,AZQP,0.063500,0.042250,0.016250,0,0.005000
MO,63037,FRANKLIN CO GERALD AMB DI,EIGF,0.064750,0.042250,0.017500,0,0.005000
MO,63038,WILDWOOD,DQLR,0.076130,0.042250,0.016380,0.005000,0.012500
MO,63039,GRAY SUMMIT,AYNH,0.064750,0.042250,0.017500,0.000000,0.005000
MO,63040,WILDWOOD,DQLR,0.076130,0.042250,0.016380,0.005000,0.012500
MO,63041,FRANKLIN CO/ST. CLAIR AMBULANCE DISTRICT/ST. CLAIR FIRE PROTECTION DISTRICT,EGJI,0.069750,0.042250,0.017500,0,0.010000
MO,63042,HAZELWOOD,AZSX,0.091130,0.042250,0.016380,0.020000,0.012500
MO,63043,MARYLAND HEIGHTS,AZTE,0.076130,0.042250,0.016380,0.005000,0.012500
MO,63044,BRIDGETON,AZRX,0.083630,0.042250,0.016380,0.012500,0.012500
MO,63045,ST. LOUIS COUNTY,AZRP,0.071130,0.042250,0.016380,0,0.012500
MO,63047,JEFFERSON CO JOACHIM-PLATTIN AMB,EGNN,0.068500,0.042250,0.016250,0,0.010000
MO,63048,HERCULANEUM,AYUN,0.088500,0.042250,0.016250,0.025000,0.005000
MO,63049,NORTH JEFFERSON CO AMB DS,ELTW,0.073500,0.042250,0.016250,0,0.015000
MO,63050,JEFF CO HILLSBORO VALLE,EMNT,0.073500,0.042250,0.016250,0,0.015000
MO,63051,JEFFERSON CO BIG RIVER AMB/HIGH RIDGE FIRE,EHYL,0.073500,0.042250,0.016250,0,0.015000
MO,63052,JEFFERSON CO ROCK TWNSHP AMB/ROCK COM FIRE,EFAH,0.071000,0.042250,0.016250,0,0.012500
MO,63053,KIMMSWICK,AYUT,0.086000,0.042250,0.016250,0.015000,0.012500
MO,63055,FRANKLIN CO MERAMEC AMB,EIIT,0.064750,0.042250,0.017500,0,0.005000
MO,63056,FRANKLIN CO GERALD AMB DI,EIGF,0.064750,0.042250,0.017500,0,0.005000
MO,63057,JEFFERSON CO ANTONIA FIRE/ROCK TWNSHP AMB,EHYO,0.071000,0.042250,0.016250,0,0.012500
MO,63060,FRANKLIN CO/ST. CLAIR AMBULANCE DISTRICT/ST. CLAIR FIRE PROTECTION DISTRICT,EGJI,0.069750,0.042250,0.017500,0,0.010000
MO,63061,FRANKLIN CO/ST. CLAIR AMBULANCE DISTRICT/ST. CLAIR FIRE PROTECTION DISTRICT,EGJI,0.069750,0.042250,0.017500,0,0.010000
MO,63065,JEFFERSON CO JOACHIM-PLATTIN AMB,EGNN,0.068500,0.042250,0.016250,0,0.010000
MO,63066,JEFFERSON CO BIG RIVER AMB,EHWU,0.068500,0.042250,0.016250,0,0.010000
MO,63068,FRANKLIN CO NEW HAVEN AMB,EIIS,0.064750,0.042250,0.017500,0,0.005000
MO,63069,PACIFIC (FRANKLIN CO),AYNP,0.079750,0.042250,0.017500,0.015000,0.005000
MO,63070,PEVELY,AYUY,0.083500,0.042250,0.016250,0.020000,0.005000
MO,63071,WASHINGTON COUNTY / WASHINGTON CO AMBULANCE DIST,AZYI,0.072250,0.042250,0.025000,0,0.005000
MO,63072,FRANKLIN CO MERAMEC AMB,EIIT,0.064750,0.042250,0.017500,0,0.005000
MO,63073,FRANKLIN CO MERAMEC AMB,EIIT,0.064750,0.042250,0.017500,0,0.005000
MO,63074,ST. ANN,AZTS,0.083630,0.042250,0.016380,0.012500,0.012500
MO,63077,FRANKLIN CO/ST. CLAIR AMBULANCE DISTRICT/ST. CLAIR FIRE PROTECTION DISTRICT,EGJI,0.069750,0.042250,0.017500,0,0.010000
