State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
NM,87001,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87002,BELEN,BEZV,0.083125,0.051250,0.000000,0.031875,0
NM,87004,BERNALILLO (CITY),BEWA,0.070625,0.051250,0.000000,0.019375,0
NM,87005,CIBOLA COUNTY,BELC,0.065625,0.051250,0.014375,0,0
NM,87006,SOCORRO COUNTY,BEXN,0.060000,0.051250,0.008750,0,0
NM,87007,LAGUNA PUEBLO (2) (CIBOLA CO),EFPT,0.065625,0.000000,0.000000,0,0.065625
NM,87008,BERNALILLO COUNTY,BEKE,0.062500,0.051250,0.011250,0,0
NM,87010,SANTA FE COUNTY,BEWQ,0.070000,0.051250,0.018750,0,0
NM,87011,SOCORRO COUNTY,BEXN,0.060000,0.051250,0.008750,0,0
NM,87012,RIO ARRIBA COUNTY,BESW,0.065000,0.051250,0.013750,0,0
NM,87013,CUBA,BEWB,0.078125,0.051250,0.000000,0.026875,0
NM,87014,CIBOLA COUNTY,BELC,0.065625,0.051250,0.014375,0,0
NM,87015,SANTA FE COUNTY,BEWQ,0.070000,0.051250,0.018750,0,0
NM,87016,TORRANCE COUNTY,BEYW,0.067500,0.051250,0.016250,0,0
NM,87017,RIO ARRIBA COUNTY,BESW,0.065000,0.051250,0.013750,0,0
NM,87018,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87020,GRANTS,BELH,0.078750,0.051250,0.000000,0.027500,0
NM,87021,MILAN,BELJ,0.075000,0.051250,0.000000,0.023750,0
NM,87022,BERNALILLO COUNTY,BEKE,0.062500,0.051250,0.011250,0,0
NM,87023,VALENCIA COUNTY,BEZU,0.068750,0.051250,0.017500,0,0
NM,87024,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87025,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87026,VALENCIA COUNTY,BEZU,0.068750,0.051250,0.017500,0,0
NM,87027,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87028,SOCORRO COUNTY,BEXN,0.060000,0.051250,0.008750,0,0
NM,87029,RIO ARRIBA COUNTY,BESW,0.065000,0.051250,0.013750,0,0
NM,87031,VALENCIA COUNTY,BEZU,0.068750,0.051250,0.017500,0,0
NM,87032,TORRANCE COUNTY,BEYW,0.067500,0.051250,0.016250,0,0
NM,87035,TORRANCE COUNTY,BEYW,0.067500,0.051250,0.016250,0,0
NM,87036,MOUNTAINAIR,BEZD,0.079375,0.051250,0.000000,0.028125,0
NM,87037,SAN JUAN COUNTY,BEUN,0.065625,0.051250,0.014375,0,0
NM,87038,LAGUNA PUEBLO (2) (CIBOLA CO),EFPT,0.065625,0.000000,0.000000,0,0.065625
NM,87040,LAGUNA PUEBLO (2) (CIBOLA CO),EFPT,0.065625,0.000000,0.000000,0,0.065625
NM,87041,PUEBLO DE COCHITI (2) (SANDOVAL CO),EFQE,0.062500,0.000000,0.000000,0,0.062500
NM,87042,PERALTA,BFAA,0.079375,0.051250,0.000000,0.028125,0
NM,87043,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87044,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87045,MCKINLEY COUNTY,BEQM,0.067500,0.051250,0.016250,0,0
NM,87046,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87047,BERNALILLO COUNTY,BEKE,0.062500,0.051250,0.011250,0,0
NM,87048,CORRALES,BEWC,0.075625,0.051250,0.000000,0.024375,0
NM,87049,CIBOLA COUNTY,BELC,0.065625,0.051250,0.014375,0,0
NM,87051,CIBOLA COUNTY,BELC,0.065625,0.051250,0.014375,0,0
NM,87052,KEWA PUEBLO 2,EIIA,0.062500,0.000000,0.000000,0.062500,0
NM,87053,SANDOVAL COUNTY,BEVY,0.062500,0.051250,0.011250,0,0
NM,87056,SANTA FE COUNTY,BEWQ,0.070000,0.051250,0.018750,0,0
NM,87059,BERNALILLO COUNTY,BEKE,0.062500,0.051250,0.011250,0,0
NM,87060,VALENCIA COUNTY,BEZU,0.068750,0.051250,0.017500,0,0
NM,87061,TORRANCE COUNTY,BEYW,0.067500,0.051250,0.016250,0,0
NM,87062,SOCORRO COUNTY,BEXN,0.060000,0.051250,0.008750,0,0
NM,87063,WILLARD,BEZH,0.075625,0.051250,0.000000,0.024375,0
NM,87064,RIO ARRIBA COUNTY,BESW,0.065000,0.051250,0.013750,0,0
NM,87068,BOSQUE FARMS,BEZW,0.081875,0.051250,0.000000,0.030625,0
NM,87070,TORRANCE COUNTY,BEYW,0.067500,0.051250,0.016250,0,0
NM,87072,PUEBLO DE COCHITI (2) (SANDOVAL CO),EFQE,0.062500,0.000000,0.000000,0,0.062500
NM,87083,PUEBLO DE COCHITI (2) (SANDOVAL CO),EFQE,0.062500,0.000000,0.000000,0,0.062500
NM,87101,ALBUQUERQUE,BEKF,0.071875,0.051250,0.000000,0.020625,0
NM,87102,ALBUQUERQUE,BEKF,0.071875,0.051250,0.000000,0.020625,0
