State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
OK,73001,CADDO COUNTY,BJTI,0.060000,0.045000,0.015000,0,0
OK,73002,GRADY COUNTY,BJZY,0.050000,0.045000,0.005000,0,0
OK,73003,EDMOND,BKKO,0.082500,0.045000,0,0.037500,0
OK,73004,GRADY COUNTY,BJZY,0.050000,0.045000,0.005000,0,0
OK,73005,ANADARKO,BJTJ,0.095000,0.045000,0.015000,0.035000,0
OK,73006,APACHE TOWN,BJTK,0.095000,0.045000,0.015000,0.035000,0
OK,73007,EDMOND,BKKO,0.082500,0.045000,0,0.037500,0
OK,73008,BETHANY,BKKL,0.085000,0.045000,0,0.040000,0
OK,73009,BINGER TOWN,BJTM,0.100000,0.045000,0.015000,0.040000,0
OK,73010,BLANCHARD (MCCLAIN CO),BKHL,0.090000,0.045000,0.005000,0.040000,0
OK,73011,GRADY COUNTY,BJZY,0.050000,0.045000,0.005000,0,0
OK,73012,OKLAHOMA CITY (OKLAHOMA CO),BKKY,0.083750,0.045000,0,0.038750,0
OK,73013,OKLAHOMA CITY (OKLAHOMA CO),BKKY,0.083750,0.045000,0,0.038750,0
OK,73014,CANADIAN COUNTY,BJTX,0.048500,0.045000,0.003500,0,0
OK,73015,CARNEGIE TOWN,BJTN,0.100000,0.045000,0.015000,0.040000,0
OK,73016,CASHION (KINGFISHER CO),BKDO,0.097500,0.045000,0.012500,0.040000,0
OK,73017,GRADY COUNTY,BJZY,0.050000,0.045000,0.005000,0,0
OK,73018,CHICKASHA,BKAC,0.089690,0.045000,0.005000,0.039690,0
OK,73019,NORMAN,BJVW,0.082500,0.045000,0.002500,0.035000,0
OK,73020,CHOCTAW,BKKM,0.087500,0.045000,0,0.042500,0
OK,73021,WASHITA COUNTY,BKSQ,0.065000,0.045000,0.020000,0,0
OK,73022,EL RENO,BJUA,0.088500,0.045000,0.003500,0.040000,0
OK,73023,CHICKASHA,BKAC,0.089690,0.045000,0.005000,0.039690,0
OK,73024,CORN TOWN,BKSX,0.085000,0.045000,0.020000,0.020000,0
OK,73025,LOGAN COUNTY,BKFR,0.052500,0.045000,0.007500,0,0
OK,73026,NORMAN,BJVW,0.082500,0.045000,0.002500,0.035000,0
OK,73027,PAYNE COUNTY,BKMZ,0.053130,0.045000,0.008130,0,0
OK,73028,LOGAN COUNTY,BKFR,0.052500,0.045000,0.007500,0,0
OK,73029,CADDO COUNTY,BJTI,0.060000,0.045000,0.015000,0,0
OK,73030,DAVIS (MURRAY CO),BKIV,0.095000,0.045000,0.020000,0.030000,0
OK,73031,DIBBLE TOWN,BKHO,0.100000,0.045000,0.005000,0.050000,0
OK,73032,DOUGHERTY TOWN,BKIU,0.085000,0.045000,0.020000,0.020000,0
OK,73033,EAKLY TOWN,BJTQ,0.090000,0.045000,0.015000,0.030000,0
OK,73034,EDMOND,BKKO,0.082500,0.045000,0,0.037500,0
OK,73036,EL RENO,BJUA,0.088500,0.045000,0.003500,0.040000,0
OK,73038,FORT COBB TOWN,BJTR,0.100000,0.045000,0.015000,0.040000,0
OK,73039,DAVIS (MURRAY CO),BKIV,0.095000,0.045000,0.020000,0.030000,0
OK,73040,GEARY (BLAINE CO),BJSK,0.082500,0.045000,0.007500,0.030000,0
OK,73041,GOTEBO TOWN,BKDX,0.090000,0.045000,0.005000,0.040000,0
OK,73042,GRACEMONT TOWN,BJTS,0.100000,0.045000,0.015000,0.040000,0
OK,73043,GREENFIELD TOWN,BJSL,0.082500,0.045000,0.007500,0.030000,0
OK,73044,LOGAN COUNTY,BKFR,0.052500,0.045000,0.007500,0,0
OK,73045,HARRAH,BKKQ,0.085000,0.045000,0,0.040000,0
OK,73047,HINTON TOWN,BJTT,0.090000,0.045000,0.015000,0.030000,0
OK,73048,HYDRO (CADDO CO),BJTU,0.100000,0.045000,0.015000,0.040000,0
OK,73049,OKLAHOMA CITY (OKLAHOMA CO),BKKY,0.083750,0.045000,0,0.038750,0
OK,73050,LANGSTON TOWN,BKFW,0.092500,0.045000,0.007500,0.040000,0
