State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
OR,97001,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97002,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97003,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97004,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97005,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97006,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97007,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97008,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97009,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97010,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97011,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97013,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97014,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97015,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97016,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97017,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97018,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97019,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97020,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97021,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97022,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97023,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97024,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97026,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97027,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97028,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97029,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97030,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97031,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97032,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97033,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97034,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97035,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97036,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97037,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97038,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97039,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97040,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97041,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97042,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97044,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97045,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97048,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97049,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97050,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97051,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97053,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97054,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97055,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97056,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97057,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97058,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97060,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97062,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97063,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97064,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97065,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97067,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97068,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97070,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97071,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97075,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97078,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97080,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97086,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97089,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97101,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97102,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97103,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97106,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97107,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97108,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97109,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97110,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97111,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97112,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97113,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97114,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97115,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97116,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97117,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97118,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97119,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97121,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97122,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97123,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97124,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97125,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97127,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97128,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97130,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97131,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97132,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97133,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97134,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97135,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97136,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97137,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97138,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97140,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97141,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97143,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97144,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97145,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97146,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97147,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97148,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97149,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97201,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97202,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97203,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97204,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97205,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97206,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97207,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97208,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97209,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97210,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97211,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97212,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97213,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97214,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97215,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97216,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97217,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97218,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97219,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97220,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97221,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97222,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97223,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97224,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97225,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97227,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97228,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97229,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97230,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97231,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97232,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97233,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97236,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97238,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97239,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97240,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97242,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97258,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97266,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97267,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97268,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97269,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97280,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97281,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97282,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97283,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97286,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97290,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97291,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97292,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97293,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97294,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
OR,97296,OREGON STATE,BKTP,0.000000,0.000000,0,0,0
