State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
SC,29001,CLARENDON COUNTY,BNUF,0.080000,0.060000,0.010000,0,0.010000
SC,29002,RICHLAND COUNTY,BODH,0.080000,0.060000,0.010000,0,0.010000
SC,29003,BAMBERG COUNTY,BNQT,0.080000,0.060000,0.010000,0,0.010000
SC,29006,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29009,KERSHAW COUNTY,BNZE,0.070000,0.060000,0.010000,0,0
SC,29010,LEE COUNTY,BNZZ,0.080000,0.060000,0.010000,0,0.010000
SC,29014,CHESTER COUNTY,BNTO,0.080000,0.060000,0.010000,0,0.010000
SC,29015,FAIRFIELD COUNTY,BNWF,0.070000,0.060000,0.010000,0,0
SC,29016,RICHLAND COUNTY,BODH,0.080000,0.060000,0.010000,0,0.010000
SC,29018,ORANGEBURG COUNTY,BOCH,0.070000,0.060000,0,0,0.010000
SC,29020,KERSHAW COUNTY,BNZE,0.070000,0.060000,0.010000,0,0
SC,29021,CAMDEN,BNZG,0.070000,0.060000,0.000000,0.010000,0
SC,29030,CALHOUN COUNTY,BNSK,0.070000,0.060000,0.010000,0,0
SC,29031,SOUTH CAROLINA,BNPB,0.060000,0.060000,0,0,0
SC,29032,KERSHAW COUNTY,BNZE,0.070000,0.060000,0.010000,0,0
SC,29033,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29036,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29037,NEWBERRY COUNTY,BOBL,0.070000,0.060000,0,0,0.010000
SC,29038,ORANGEBURG COUNTY,BOCH,0.070000,0.060000,0,0,0.010000
SC,29039,ORANGEBURG COUNTY,BOCH,0.070000,0.060000,0,0,0.010000
SC,29040,SUMTER COUNTY,BOFD,0.080000,0.060000,0.010000,0,0.010000
SC,29042,BAMBERG COUNTY,BNQT,0.080000,0.060000,0.010000,0,0.010000
SC,29044,RICHLAND COUNTY,BODH,0.080000,0.060000,0.010000,0,0.010000
SC,29045,KERSHAW COUNTY,BNZE,0.070000,0.060000,0.010000,0,0
SC,29046,LEE COUNTY,BNZZ,0.080000,0.060000,0.010000,0,0.010000
SC,29047,ORANGEBURG COUNTY,BOCH,0.070000,0.060000,0,0,0.010000
SC,29048,ORANGEBURG COUNTY,BOCH,0.070000,0.060000,0,0,0.010000
SC,29051,CLARENDON COUNTY,BNUF,0.080000,0.060000,0.010000,0,0.010000
SC,29052,RICHLAND COUNTY,BODH,0.080000,0.060000,0.010000,0,0.010000
SC,29053,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29054,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29055,GREAT FALLS,BNTT,0.080000,0.060000,0.000000,0.010000,0.010000
SC,29056,WILLIAMSBURG COUNTY,BOFT,0.070000,0.060000,0.010000,0,0
SC,29058,LANCASTER COUNTY,BNZM,0.080000,0.060000,0.010000,0,0.010000
SC,29059,ORANGEBURG COUNTY,BOCH,0.070000,0.060000,0,0,0.010000
SC,29061,RICHLAND COUNTY,BODH,0.080000,0.060000,0.010000,0,0.010000
SC,29062,SUMTER COUNTY,BOFD,0.080000,0.060000,0.010000,0,0.010000
SC,29063,RICHLAND COUNTY,BODH,0.080000,0.060000,0.010000,0,0.010000
SC,29065,FAIRFIELD COUNTY,BNWF,0.070000,0.060000,0.010000,0,0
SC,29067,LANCASTER COUNTY,BNZM,0.080000,0.060000,0.010000,0,0.010000
SC,29069,DARLINGTON COUNTY,BNVC,0.080000,0.060000,0.010000,0,0.010000
SC,29070,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29071,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29072,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29073,LEXINGTON COUNTY,BOAD,0.070000,0.060000,0,0,0.010000
SC,29074,KERSHAW COUNTY,BNZE,0.070000,0.060000,0.010000,0,0
SC,29075,NEWBERRY COUNTY,BOBL,0.070000,0.060000,0,0,0.010000
SC,29078,KERSHAW COUNTY,BNZE,0.070000,0.060000,0.010000,0,0
SC,29079,DARLINGTON COUNTY,BNVC,0.080000,0.060000,0.010000,0,0.010000
SC,29080,SUMTER COUNTY,BOFD,0.080000,0.060000,0.010000,0,0.010000
SC,29081,BAMBERG COUNTY,BNQT,0.080000,0.060000,0.010000,0,0.010000
SC,29082,COLLETON COUNTY,BNUO,0.080000,0.060000,0.010000,0,0.010000
SC,29101,CHESTERFIELD COUNTY,BNTW,0.080000,0.060000,0.010000,0,0.010000
