State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
TN,37010,ROBERTSON COUNTY,BPUJ,0.097500,0.070000,0.027500,0,0
TN,37011,DAVIDSON COUNTY,BPDY,0.092500,0.070000,0.022500,0,0
TN,37012,DEKALB COUNTY,BPEI,0.097500,0.070000,0.027500,0,0
TN,37013,DAVIDSON COUNTY,BPDY,0.092500,0.070000,0.022500,0,0
TN,37014,WILLIAMSON COUNTY,BQAA,0.092500,0.070000,0.022500,0,0
TN,37015,CHEATHAM COUNTY,BPBU,0.092500,0.070000,0.022500,0,0
TN,37016,CANNON COUNTY,BPAT,0.087500,0.070000,0.017500,0,0
TN,37018,COFFEE COUNTY,BPDD,0.097500,0.070000,0.027500,0,0
TN,37019,MARSHALL COUNTY,BPPM,0.092500,0.070000,0.022500,0,0
TN,37020,BEDFORD COUNTY,BOZH,0.097500,0.070000,0.027500,0,0
TN,37022,SUMNER COUNTY,BPXC,0.092500,0.070000,0.022500,0,0
TN,37023,STEWART COUNTY,BPWO,0.092500,0.070000,0.022500,0,0
TN,37024,DAVIDSON COUNTY,BPDY,0.092500,0.070000,0.022500,0,0
TN,37025,HICKMAN COUNTY,BPLO,0.097500,0.070000,0.027500,0,0
TN,37026,CANNON COUNTY,BPAT,0.087500,0.070000,0.017500,0,0
TN,37027,WILLIAMSON COUNTY,BQAA,0.092500,0.070000,0.022500,0,0
TN,37028,STEWART COUNTY,BPWO,0.092500,0.070000,0.022500,0,0
TN,37029,DICKSON COUNTY,BPET,0.097500,0.070000,0.027500,0,0
TN,37030,SMITH COUNTY,BPWD,0.097500,0.070000,0.027500,0,0
TN,37031,SUMNER COUNTY,BPXC,0.092500,0.070000,0.022500,0,0
TN,37032,ROBERTSON COUNTY,BPUJ,0.097500,0.070000,0.027500,0,0
TN,37033,HICKMAN COUNTY,BPLO,0.097500,0.070000,0.027500,0,0
TN,37034,MARSHALL COUNTY,BPPM,0.092500,0.070000,0.022500,0,0
TN,37035,CHEATHAM COUNTY,BPBU,0.092500,0.070000,0.022500,0,0
TN,37036,DICKSON COUNTY,BPET,0.097500,0.070000,0.027500,0,0
TN,37037,RUTHERFORD COUNTY,BPUS,0.097500,0.070000,0.027500,0,0
TN,37040,MONTGOMERY COUNTY,BPRH,0.095000,0.070000,0.025000,0,0
TN,37041,MONTGOMERY COUNTY,BPRH,0.095000,0.070000,0.025000,0,0
TN,37042,MONTGOMERY COUNTY,BPRH,0.095000,0.070000,0.025000,0,0
TN,37043,MONTGOMERY COUNTY,BPRH,0.095000,0.070000,0.025000,0,0
