State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
UT,84001,ALTAMONT,BTPE,0.059500,0.047000,0.012500,0.000000,0
UT,84002,DUCHESNE CO,BTPD,0.059500,0.047000,0.012500,0,0
UT,84003,AMERICAN FORK,BTWJ,0.068500,0.047000,0.008000,0.011000,0.002500
UT,84004,ALPINE,BTWH,0.067500,0.047000,0.008000,0.010000,0.002500
UT,84005,EAGLE MOUNTAIN,DVXC,0.067500,0.047000,0.018000,0.000000,0.002500
UT,84006,SALT LAKE COUNTY,BTSS,0.068500,0.047000,0.013500,0,0.008000
UT,84007,DUCHESNE CO,BTPD,0.059500,0.047000,0.012500,0,0
UT,84009,SOUTH JORDAN,BTTE,0.068500,0.047000,0.013500,0.000000,0.008000
UT,84010,BOUNTIFUL,BTON,0.066000,0.047000,0.013000,0.000000,0.006000
UT,84011,BOUNTIFUL,BTON,0.066000,0.047000,0.013000,0.000000,0.006000
UT,84013,EAGLE MOUNTAIN,DVXC,0.067500,0.047000,0.018000,0.000000,0.002500
UT,84014,CENTERVILLE,BTOO,0.066000,0.047000,0.013000,0.000000,0.006000
UT,84015,CLEARFIELD,BTOP,0.066000,0.047000,0.013000,0.001000,0.005000
UT,84016,CLEARFIELD,BTOP,0.066000,0.047000,0.013000,0.001000,0.005000
UT,84017,SUMMIT COUNTY,BTUV,0.060500,0.047000,0.013500,0,0
UT,84018,MORGAN COUNTY,BTSE,0.059500,0.047000,0.012500,0,0
UT,84020,DRAPER,BTSX,0.068500,0.047000,0.013500,0.000000,0.008000
UT,84021,DUCHESNE (CITY),BTPI,0.060500,0.047000,0.012500,0.001000,0
UT,84022,TOOELE COUNTY,BTVF,0.059500,0.047000,0.012500,0,0
UT,84023,DAGGETT COUNTY,BTOI,0.069500,0.047000,0.022500,0,0
UT,84024,SUMMIT COUNTY,BTUV,0.060500,0.047000,0.013500,0,0
UT,84025,FARMINGTON,BTOR,0.066000,0.047000,0.013000,0.001000,0.005000
UT,84026,UINTAH COUNTY,BTVU,0.060500,0.047000,0.013500,0,0
UT,84027,DUCHESNE CO,BTPD,0.059500,0.047000,0.012500,0,0
UT,84028,GARDEN CITY,BTSO,0.075500,0.047000,0.002500,0.010000,0.016000
UT,84029,GRANTSVILLE,BTVJ,0.062500,0.047000,0.000000,0.010000,0.005500
UT,84031,DUCHESNE CO,BTPD,0.059500,0.047000,0.012500,0,0
UT,84032,HEBER,BTXV,0.062500,0.047000,0.000000,0.010000,0.005500
UT,84033,HENEFER,BTUZ,0.060500,0.047000,0.013500,0.000000,0
UT,84035,UINTAH COUNTY,BTVU,0.060500,0.047000,0.013500,0,0
UT,84036,SUMMIT COUNTY,BTUV,0.060500,0.047000,0.013500,0,0
UT,84037,KAYSVILLE,BTOU,0.065000,0.047000,0.013000,0.000000,0.005000
UT,84038,RICH COUNTY,BTSN,0.059500,0.047000,0.012500,0,0
UT,84039,UINTAH COUNTY,BTVU,0.060500,0.047000,0.013500,0,0
UT,84040,LAYTON,BTOV,0.065000,0.047000,0.013000,0.000000,0.005000
UT,84041,LAYTON,BTOV,0.065000,0.047000,0.013000,0.000000,0.005000
UT,84042,LINDON,BTWX,0.068500,0.047000,0.008000,0.011000,0.002500
UT,84043,LEHI,BTWV,0.067500,0.047000,0.008000,0.010000,0.002500
UT,84044,SALT LAKE COUNTY,BTSS,0.068500,0.047000,0.013500,0,0.008000
UT,84045,SARATOGA SPRINGS,DSCT,0.067500,0.047000,0.018000,0.000000,0.002500
UT,84046,MANILA,BTOK,0.069500,0.047000,0.022500,0.000000,0
UT,84047,MIDVALE,BTSY,0.068500,0.047000,0.013500,0.000000,0.008000
UT,84049,MIDWAY,BTXW,0.073500,0.047000,0.000000,0.010000,0.016500
UT,84050,MORGAN COUNTY,BTSE,0.059500,0.047000,0.012500,0,0
UT,84051,DUCHESNE CO,BTPD,0.059500,0.047000,0.012500,0,0
UT,84052,DUCHESNE CO,BTPD,0.059500,0.047000,0.012500,0,0
UT,84053,DUCHESNE CO,BTPD,0.059500,0.047000,0.012500,0,0
UT,84054,NORTH SALT LAKE,BTOW,0.066000,0.047000,0.013000,0.000000,0.006000
UT,84055,OAKLEY,BTVB,0.060500,0.047000,0.013500,0.000000,0
UT,84056,CLEARFIELD,BTOP,0.066000,0.047000,0.013000,0.001000,0.005000
UT,84057,OREM,BTXB,0.068500,0.047000,0.008000,0.011000,0.002500
UT,84058,OREM,BTXB,0.068500,0.047000,0.008000,0.011000,0.002500
UT,84059,OREM,BTXB,0.068500,0.047000,0.008000,0.011000,0.002500
UT,84060,PARK CITY,EKIN,0.079500,0.047000,0.001000,0.010000,0.021500
UT,84061,SUMMIT COUNTY,BTUV,0.060500,0.047000,0.013500,0,0
