State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
WA,98001,KING COUNTY,EHVS,0.095000,0.065000,0.000000,0,0.030000
WA,98002,AUBURN (KING CO),BVWC,0.095000,0.065000,0.000000,0.030000,0
WA,98003,FEDERAL WAY,BVWO,0.095000,0.065000,0.000000,0.030000,0
WA,98004,BELLEVUE,BVWE,0.095000,0.065000,0.000000,0.030000,0
WA,98005,BELLEVUE,BVWE,0.095000,0.065000,0.000000,0.030000,0
WA,98006,BELLEVUE,BVWE,0.095000,0.065000,0.000000,0.030000,0
WA,98007,BELLEVUE,BVWE,0.095000,0.065000,0.000000,0.030000,0
WA,98008,BELLEVUE,BVWE,0.095000,0.065000,0.000000,0.030000,0
WA,98009,BELLEVUE,BVWE,0.095000,0.065000,0.000000,0.030000,0
WA,98010,BLACK DIAMOND,BVWF,0.086000,0.065000,0.000000,0.021000,0
WA,98011,BOTHELL (KING CO),BVWG,0.095000,0.065000,0.000000,0.030000,0
WA,98012,MILL CREEK,BWGU,0.096000,0.065000,0.000000,0.031000,0
WA,98014,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98015,BELLEVUE,BVWE,0.095000,0.065000,0.000000,0.030000,0
WA,98019,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98020,EDMONDS,BWGL,0.095000,0.065000,0.000000,0.030000,0
WA,98021,BOTHELL (SNOHOMISH CO),BWGI,0.095000,0.065000,0.000000,0.030000,0
WA,98022,ENUMCLAW,BVWN,0.086000,0.065000,0.000000,0.021000,0
WA,98023,FEDERAL WAY,BVWO,0.095000,0.065000,0.000000,0.030000,0
WA,98024,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98025,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98026,EDMONDS,BWGL,0.095000,0.065000,0.000000,0.030000,0
WA,98027,ISSAQUAH,BVWS,0.095000,0.065000,0.000000,0.030000,0
WA,98028,KENMORE,BVWV,0.095000,0.065000,0.000000,0.030000,0
WA,98029,ISSAQUAH,BVWS,0.095000,0.065000,0.000000,0.030000,0
WA,98030,KENT,BVWT,0.095000,0.065000,0.000000,0.030000,0
WA,98031,KENT,BVWT,0.095000,0.065000,0.000000,0.030000,0
WA,98032,KENT,BVWT,0.095000,0.065000,0.000000,0.030000,0
WA,98033,KIRKLAND,BVWU,0.095000,0.065000,0.000000,0.030000,0
WA,98034,KIRKLAND,BVWU,0.095000,0.065000,0.000000,0.030000,0
WA,98035,KENT,BVWT,0.095000,0.065000,0.000000,0.030000,0
WA,98036,LYNNWOOD,BWGR,0.095000,0.065000,0.000000,0.030000,0
WA,98037,LYNNWOOD,BWGR,0.095000,0.065000,0.000000,0.030000,0
WA,98038,MAPLE VALLEY,BVXA,0.086000,0.065000,0.000000,0.021000,0
WA,98039,MEDINA,BVWX,0.095000,0.065000,0.000000,0.030000,0
WA,98040,MERCER ISLAND,BVWY,0.095000,0.065000,0.000000,0.030000,0
WA,98041,BOTHELL (KING CO),BVWG,0.095000,0.065000,0.000000,0.030000,0
WA,98042,COVINGTON,DCJH,0.086000,0.065000,0.000000,0.021000,0
WA,98043,MOUNTLAKE TERRACE,BWGX,0.095000,0.065000,0.000000,0.030000,0
WA,98045,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98046,LYNNWOOD,BWGR,0.095000,0.065000,0.000000,0.030000,0
WA,98047,PACIFIC (KING CO),BVXE,0.095000,0.065000,0.000000,0.030000,0
WA,98050,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98051,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98052,REDMOND,BVXG,0.095000,0.065000,0.000000,0.030000,0
WA,98053,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98055,RENTON,BVXH,0.095000,0.065000,0.000000,0.030000,0
WA,98056,RENTON,BVXH,0.095000,0.065000,0.000000,0.030000,0
WA,98057,RENTON,BVXH,0.095000,0.065000,0.000000,0.030000,0
WA,98058,KING COUNTY,EHVS,0.095000,0.065000,0.000000,0,0.030000
WA,98059,RENTON,BVXH,0.095000,0.065000,0.000000,0.030000,0
WA,98061,BAINBRIDGE ISLAND,BVXY,0.087000,0.065000,0.000000,0.022000,0
WA,98062,BURIEN,CXIB,0.095000,0.065000,0.000000,0.030000,0
WA,98063,FEDERAL WAY,BVWO,0.095000,0.065000,0.000000,0.030000,0
WA,98064,KENT,BVWT,0.095000,0.065000,0.000000,0.030000,0
WA,98065,SNOQUALMIE,BVXM,0.086000,0.065000,0.000000,0.021000,0
WA,98068,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98070,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98071,AUBURN (KING CO),BVWC,0.095000,0.065000,0.000000,0.030000,0
WA,98072,WOODINVILLE,BVXT,0.095000,0.065000,0.000000,0.030000,0
WA,98073,REDMOND,BVXG,0.095000,0.065000,0.000000,0.030000,0
WA,98074,SAMMAMISH,DQKX,0.095000,0.065000,0.000000,0.030000,0
WA,98075,SAMMAMISH,DQKX,0.095000,0.065000,0.000000,0.030000,0
WA,98077,KING COUNTY NON-RTA,EHWH,0.086000,0.065000,0.021000,0,0
WA,98082,MILL CREEK,BWGU,0.096000,0.065000,0.000000,0.031000,0
WA,98083,KIRKLAND,BVWU,0.095000,0.065000,0.000000,0.030000,0
WA,98087,SNOHOMISH COUNTY UNINCORP. P.T.B.A.,EHWA,0.095000,0.065000,0.000000,0,0.030000
WA,98089,KENT,BVWT,0.095000,0.065000,0.000000,0.030000,0
WA,98092,AUBURN (KING CO),BVWC,0.095000,0.065000,0.000000,0.030000,0
WA,98093,FEDERAL WAY,BVWO,0.095000,0.065000,0.000000,0.030000,0
WA,98101,SEATTLE,BVXK,0.096000,0.065000,0.000000,0.031000,0
WA,98102,SEATTLE,BVXK,0.096000,0.065000,0.000000,0.031000,0
WA,98103,SEATTLE,BVXK,0.096000,0.065000,0.000000,0.031000,0
WA,98104,SEATTLE,BVXK,0.096000,0.065000,0.000000,0.031000,0
WA,98105,SEATTLE,BVXK,0.096000,0.065000,0.000000,0.031000,0
WA,98106,SEATTLE,BVXK,0.096000,0.065000,0.000000,0.031000,0
WA,98107,SEATTLE,BVXK,0.096000,0.065000,0.000000,0.031000,0
WA,98108,SEATTLE,BVXK,0.096000,0.065000,0.000000,0.031000,0
