State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
WI,53001,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53002,WASHINGTON COUNTY,BXRH,0.056000,0.050000,0.005000,0,0.001000
WI,53003,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53004,OZAUKEE COUNTY,BXHL,0.056000,0.050000,0.005000,0,0.001000
WI,53005,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53006,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53007,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53008,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53010,FOND DU LAC COUNTY,BWVL,0.055000,0.050000,0.005000,0,0
WI,53011,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53012,OZAUKEE COUNTY,BXHL,0.056000,0.050000,0.005000,0,0.001000
WI,53013,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53014,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53015,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53016,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53017,WASHINGTON COUNTY,BXRH,0.056000,0.050000,0.005000,0,0.001000
WI,53018,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53019,FOND DU LAC COUNTY,BWVL,0.055000,0.050000,0.005000,0,0
WI,53020,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53021,OZAUKEE COUNTY,BXHL,0.056000,0.050000,0.005000,0,0.001000
WI,53022,WASHINGTON COUNTY,BXRH,0.056000,0.050000,0.005000,0,0.001000
WI,53023,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53024,OZAUKEE COUNTY,BXHL,0.056000,0.050000,0.005000,0,0.001000
WI,53026,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53027,WASHINGTON COUNTY,BXRH,0.056000,0.050000,0.005000,0,0.001000
WI,53029,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53031,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53032,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53033,WASHINGTON COUNTY,BXRH,0.056000,0.050000,0.005000,0,0.001000
WI,53034,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53035,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53036,JEFFERSON COUNTY,BWZE,0.055000,0.050000,0.005000,0,0
WI,53037,WASHINGTON COUNTY,BXRH,0.056000,0.050000,0.005000,0,0.001000
WI,53038,JEFFERSON COUNTY,BWZE,0.055000,0.050000,0.005000,0,0
WI,53039,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53040,WASHINGTON COUNTY,BXRH,0.056000,0.050000,0.005000,0,0.001000
WI,53042,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53044,WISCONSIN STATE,BWMU,0.050000,0.050000,0,0,0
WI,53045,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53046,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53047,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53048,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53049,FOND DU LAC COUNTY,BWVL,0.055000,0.050000,0.005000,0,0
WI,53050,DODGE COUNTY,BWSU,0.055000,0.050000,0.005000,0,0
WI,53051,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53052,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
WI,53056,WAUKESHA COUNTY,BXRU,0.051000,0.050000,0,0,0.001000
